,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
210,211,Физкультурно-оздоровительный комплекс «Импульс»,Зеленоградский административный округ,район Матушкино,"город Зеленоград, корпус 109А",(499) 734-51-26,56.007304675,37.211438539,зал теннисный,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,tennis
211,212,Спортивный комплекс «Спутник-Стиль»,Восточный административный округ,район Гольяново,"1-й Иртышский проезд, дом 8, строение 1",(495) 644-36-64,55.813694486,37.758273052,зал теннисный №3,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,tennis
212,213,Спортивный комплекс «Спутник-Стиль»,Восточный административный округ,район Гольяново,"1-й Иртышский проезд, дом 8, строение 1",(495) 644-36-64,55.813694486,37.758273052,зал теннисный №2,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,tennis
213,214,Фитнес-клуб «Премьер-спорт»,Западный административный округ,район Раменки,"улица Улофа Пальме, дом 5, строение 2",(499) 112-22-98,55.717950137,37.509241641,зал теннисный №4,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-23:00,09:00-23:00,tennis
214,215,Фитнес-клуб «Премьер-спорт»,Западный административный округ,район Раменки,"улица Улофа Пальме, дом 5, строение 2",(499) 112-22-98,55.71783438,37.509040475,зал теннисный №3,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-23:00,09:00-23:00,tennis
215,216,Физкультурно-оздоровительный комплекс «Комета» на Велозаводской,Юго-Восточный административный округ,Южнопортовый район,"Велозаводская улица, дом 5",(495) 675-07-01,55.715564609,37.66849331,зал теннисный,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,tennis
216,217,Московская Академия тенниса на проспекте Вернадского,Западный административный округ,район Тропарёво-Никулино,"проспект Вернадского, дом 97, корпус 2",(499) 431-66-16,55.66846699,37.493050462,зал теннисный №2,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,tennis
217,218,Московская Академия тенниса на проспекте Вернадского,Западный административный округ,район Тропарёво-Никулино,"проспект Вернадского, дом 97, корпус 2",(499) 431-66-16,55.668414123,37.493233056,зал теннисный №4,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,tennis
218,219,Московская Академия тенниса на проспекте Вернадского,Западный административный округ,район Тропарёво-Никулино,"проспект Вернадского, дом 97, корпус 2",(499) 431-66-16,55.668522131,37.492822267,зал теннисный №1,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,tennis
219,220,Теннисный центр «Спартак»,Восточный административный округ,район Сокольники,"Майский просек, дом 7, строение 7",(925) 278-79-03,55.804692169,37.683320476,зал теннисный №15,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,tennis
220,221,Теннисный центр «Спартак»,Восточный административный округ,район Сокольники,"Майский просек, дом 7, строение 7",(925) 278-79-03,55.804655158,37.683535053,зал теннисный №16,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,tennis
221,222,Фитнес-клуб «Легион»,Южный административный округ,район Братеево,"улица Борисовские Пруды, дом 12, корпус 2",(495) 505-06-21,55.635375655,37.744749521,зал теннисный №2,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,08:00-22:00,08:00-22:00,tennis
222,223,"Спортивный комплекс Российского государственного университета физической культуры, спорта, молодёжи и туризма на Сиреневом бульваре",Восточный административный округ,район Измайлово,"Сиреневый бульвар, дом 4, строение 4",(499) 961-31-11,55.800697527,37.76208319,"Зал теннисный, «Модуль Е»",08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,tennis
223,224,Физкультурно-оздоровительный комплекс «Лаун теннис клаб»,Южный административный округ,район Москворечье-Сабурово,"Котляковская улица, дом 3, строение 1",(499) 619-37-37,55.643139941,37.633479697,зал теннисный №3,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,tennis
224,225,Физкультурно-оздоровительный комплекс «Лаун теннис клаб»,Южный административный округ,район Москворечье-Сабурово,"Котляковская улица, дом 3, строение 1",(499) 619-37-37,55.643337143,37.632444364,зал теннисный №2,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,tennis
225,226,Физкультурно-оздоровительный комплекс «Лаун теннис клаб»,Южный административный округ,район Москворечье-Сабурово,"Котляковская улица, дом 3, строение 1",(499) 619-37-37,55.643321215,37.631709439,зал теннисный №1,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,tennis
