,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
20,21,Спортивный комплекс «Кировский»,Северо-Восточный административный округ,район Бибирево,"улица Пришвина, дом 20",(495) 681-01-48,55.886109737,37.60148312,зал тренажерный,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,train_gym
21,22,Спортивный комплекс «Царицыно»,Южный административный округ,район Бирюлёво Восточное,"Лисичанская улица, дом 3",(499) 613-94-76,55.619723532,37.674845563,зал тренажерный №1,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,train_gym
22,23,Спортивный комплекс «Царицыно»,Южный административный округ,район Бирюлёво Восточное,"Лисичанская улица, дом 3",(499) 613-94-76,55.619894371,37.67476116,зал тренажерный №2,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,train_gym
23,24,Спортивный зал «Федерация Таэквон-до «Юг»,Южный административный округ,район Чертаново Южное,"Россошанская улица, дом 4, корпус 5",(495) 381-76-05,55.591065,37.610251,зал тренажерный,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,закрыто,закрыто,train_gym
24,25,Досуговый центр «Южный»,Южный административный округ,район Орехово-Борисово Южное,"Каширское шоссе, дом 124, корпус 2",(495) 343-24-83,55.60440522,37.716739793,зал тренажерный,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,закрыто,закрыто,train_gym
25,26,Спортивный комплекс «Измайлово»,Восточный административный округ,район Северное Измайлово,"11-я Парковая улица, дом 49",(499) 463-54-66,55.805761892,37.804519909,зал тренажерный №1,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,train_gym
26,27,Школа боевых искусств «Нагатино-Садовники»,Южный административный округ,район Нагатино-Садовники,"Нагатинская улица, дом 15, корпус 3, строение 2",(499) 611-70-80,55.680712769,37.643293065,зал тренажерный,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,train_gym
27,28,Учреждение культурно-досугового типа «Территориальная клубная система «Планета»»,Западный административный округ,район Очаково-Матвеевское,"Веерная улица, дом 3, корпус 6",(495) 437-53-86,55.70575621,37.476781923,Зал тренажерный,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,12:00-19:00,12:00-19:00,train_gym
28,29,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Стимул»,Центральный административный округ,Таганский район,"Волгоградский проспект, дом 7",(495) 670-63-20,55.732724583,37.684357528,Зал тренажерный,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,закрыто,train_gym
29,30,Учреждение культурно-досугового типа «Ново-Переделкино»,Западный административный округ,район Ново-Переделкино,"Лукинская улица, дом 1, корпус 1",(495) 732-02-17,55.646264982,37.343796394,зал тренажерный,09:00-22:00,09:30-22:00,08:30-22:00,09:00-22:00,09:30-22:00,08:30-22:00,09:00-18:00,train_gym
30,31,Тренажерный зал «Олимп»,Восточный административный округ,район Вешняки,"Реутовская улица, дом 10, корпус 1",(499) 373-35-78,55.737890388,37.837284974,зал тренажерный №2,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,закрыто,закрыто,train_gym
31,32,Фитнес-клуб «Сейнт Москоу Фитнес»,Северный административный округ,район Беговой,"3-я улица Ямского Поля, дом 2, корпус 4",(495) 323-94-34,55.782434227,37.581253805,зал тренажерный,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,train_gym
32,33,Фитнес-клуб «Ворлд Класс» Тульская,Южный административный округ,Донской район,"Варшавское шоссе, дом 12А",(495) 633-03-03,55.69709159,37.617859721,зал тренажерный,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,09:00-00:00,09:00-00:00,train_gym
33,34,Спортивный комплекс «Окружной»,Восточный административный округ,район Соколиная Гора,"Окружной проезд, дом 15А",(499) 369-54-11,55.789090331,37.740762835,зал тренажерный,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,train_gym
34,35,Физкультурно-оздоровительный комплекс Московской гандбольной академии,Северо-Западный административный округ,район Северное Тушино,"улица Вилиса Лациса, домовладение 20",(499) 762-03-10,55.862315194,37.419158367,зал тренажерный,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,train_gym
