,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
331,332,Фитнес-клуб «Территория фитнеса» Куркино,Северо-Западный административный округ,район Куркино,"Ландышевая улица, дом 14",(499) 116-66-78,55.886443354,37.393556844,бассейн плавательный 25-метровый крытый,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,pool_close
332,333,Фитнес-клуб «Облака фитнесс»,Северо-Восточный административный округ,район Южное Медведково,"проезд Шокальского, дом 9А",(495) 120-67-99,55.875010733,37.64434002,бассейн плавательный 25-метровый крытый,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,pool_close
333,334,Фитнес-клуб «Вита-спорт»,Северо-Западный административный округ,район Хорошёво-Мнёвники,"Живописная улица, дом 21, корпус 2",(495) 032-36-36,55.789632253,37.448955925,бассейн плавательный крытый №2,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,pool_close
334,335,Аквастудия «На Береговой»,Северо-Западный административный округ,район Покровское-Стрешнево,"Береговая улица, дом 4, корпус 10",(495) 681-01-48,55.829633,37.470455,"бассейн плавательный площадью более 60 кв. м крытый №2, «Акватория большого бассейна»",07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
335,336,Дворец спорта Российского технологического университета,Восточный административный округ,район Сокольники,"улица Стромынка, дом 20, корпус 1",(499) 215-65-65,55.793475065,37.702628193,бассейн плавательный 25-метровый крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
336,337,Фитнес-клуб «ЛесФитнесс»,Восточный административный округ,район Северное Измайлово,"Щёлковское шоссе, дом 100, корпус 104",(499) 116-60-92,55.811470626,37.834335347,бассейн плавательный 25-метровый крытый,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,pool_close
337,338,Фитнес-клуб «Кенгуру»,Центральный административный округ,Таганский район,"Нижегородская улица, дом 32, строение А",(495) 286-76-75,55.73714508,37.689000288,бассейн плавательный 25-метровый крытый,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,pool_close
338,339,Фитнес-клуб «Энкор Фитнес»,Северный административный округ,Хорошёвский район,"внутригородская территория муниципальный округ Хорошевский, улица Авиаконструктора Сухого, дом 1, строение 1",(495) 120-56-99,55.785624,37.541538,бассейн плавательный 25-метровый крытый,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,09:00-23:55,09:00-23:55,pool_close
339,340,Фитнес-клуб «Джамп»,Центральный административный округ,Пресненский район,"Столярный переулок, дом 3, корпус 34",(495) 725-49-48,55.763257687,37.570101216,бассейн плавательный крытый,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,pool_close
340,341,Фитнес-клуб «Савой»,Центральный административный округ,Тверской район,"улица Фадеева, дом 4А, строение 1",(495) 266-18-87,55.775523151,37.601326187,бассейн плавательный 25-метровый крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-22:00,09:00-22:00,pool_close
