,Unnamed: 0,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type,Rating,NumReviews
2868,2868,Фитнес-клуб «Зет Фитнес»,Юго-Восточный административный округ,район Марьино,"улица Перерва, дом 43, корпус 1",(499) 370-40-91,55.659653000000006,37.74967,"зал спортивный, «Зал восточных единоборств»",круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,sport_gym,-1.0,229
2869,2869,Фитнес-клуб «Зет Фитнес»,Юго-Восточный административный округ,район Марьино,"улица Перерва, дом 43, корпус 1",(499) 370-40-91,55.659653000000006,37.74967,"зал спортивный, «Зал бокса»",круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,sport_gym,-1.0,229
2870,2870,Фитнес-клуб «Зет Фитнес»,Юго-Восточный административный округ,район Марьино,"улица Перерва, дом 43, корпус 1",(499) 370-40-91,55.659653000000006,37.74967,"зал спортивный, «Зал групповых программ»",круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,sport_gym,-1.0,229
2871,2871,Фитнес-клуб «Зет Фитнес»,Юго-Восточный административный округ,район Марьино,"улица Перерва, дом 43, корпус 1",(499) 370-40-91,55.645693804,37.743468124,"зал спортивный, «Зал йоги»",круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,sport_gym,-1.0,229
2872,2872,Спортивный комплекс образовательного учреждения,Северный административный округ,район Аэропорт,"улица Усиевича, дом 29Б",(499) 152-59-31,55.806935,37.519782,зал спортивный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,закрыто,закрыто,sport_gym,-1.0,-1
2873,2873,Спортивный комплекс Московского энергетического института,Юго-Восточный административный округ,район Лефортово,"2-й Краснокурсантский проезд, дом 12, строение 1",(495) 361-19-58,55.762277000000005,37.703631,зал спортивный №3,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,sport_gym,-1.0,-1
2874,2874,Спортивный комплекс Московского государственного института международных отношений,Западный административный округ,район Проспект Вернадского,"проспект Вернадского, дом 76, корпус Е, строение 2",(495) 234-84-02,55.672133635,37.484862239,зал спортивный №3,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym,4.4,109
2875,2875,Спортивный комплекс Московского государственного института международных отношений,Западный административный округ,район Проспект Вернадского,"проспект Вернадского, дом 76, корпус Е, строение 2",(495) 234-84-02,55.672127572,37.484588653,зал спортивный №1,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym,4.4,109
2876,2876,Фитнес-клуб «Марк-Аврелий»,Восточный административный округ,район Измайлово,"Измайловское шоссе, дом 71, корпус 4Г-Д",(495) 374-51-11,55.791743999999994,37.748619,"зал спортивный, «Единоборств»",06:30-00:00,06:30-00:00,06:30-00:00,06:30-00:00,06:30-00:00,08:00-23:00,08:00-23:00,sport_gym,4.5,131
2877,2877,Фитнес-клуб «Марк-Аврелий»,Восточный административный округ,район Измайлово,"Измайловское шоссе, дом 71, корпус 4Г-Д",(495) 374-51-11,55.791743999999994,37.748619,"зал спортивный, «Групповых программ»",06:30-00:00,06:30-00:00,06:30-00:00,06:30-00:00,06:30-00:00,08:00-23:00,08:00-23:00,sport_gym,4.5,131
