,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
220,221,Фитнес-клуб «Голдс Джим Динамо»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31, строение 30",(495) 931-96-16,55.78398671,37.562470879,зал спортивный №4,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-22:00,09:00-22:00,sport_gym
221,222,Фитнес-клуб «Голдс Джим Динамо»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31, строение 30",(495) 931-96-16,55.783906603,37.562304582,зал спортивный №2,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-22:00,09:00-22:00,sport_gym
222,223,Фитнес-клуб «Голдс Джим Динамо»,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31, строение 30",(495) 931-96-16,55.784081176,37.561923708,зал спортивный №1,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-22:00,09:00-22:00,sport_gym
223,224,Фитнес-клуб «Ворлд Класс Триумф»,Северный административный округ,Хорошёвский район,"Чапаевский переулок, дом 3",(495) 788-00-00,55.798452483,37.520809953,зал спортивный №1,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,09:00-23:55,09:00-23:55,sport_gym
224,225,Фитнес клуб «Арт спорт»,Северный административный округ,район Западное Дегунино,"Ангарская улица, дом 24А",(499) 110-41-56,55.876352718,37.519284927,зал спортивный №1,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,08:00-23:55,08:00-23:55,sport_gym
225,226,Досуговый центр «Преображенец»,Восточный административный округ,район Преображенское,"2-я Пугачёвская улица, дом 10, корпус 1",(499) 161-93-92,55.793421263,37.728835964,зал спортивный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
226,227,Досуговый центр «ГБУ г. Москвы «МЦ «Галактика»,Западный административный округ,район Филёвский Парк,"Кастанаевская улица, дом 24",(499) 142-28-38,55.738527158,37.489945494,зал спортивный,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-18:00,09:00-16:00,sport_gym
227,228,Спортивный комплекс «ЦСиО «Самбо-70» отделение «Севастопольский»,Юго-Западный административный округ,район Черёмушки,"Новочерёмушкинская улица, дом 64, корпус 3",(495) 331-39-00,55.664298941,37.557455989,зал спортивный № 2-9,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,sport_gym
228,229,Спортивный комплекс «ЦСиО «Самбо-70» отделение «Севастопольский»,Юго-Западный административный округ,район Черёмушки,"Новочерёмушкинская улица, дом 64, корпус 3",(495) 331-39-00,55.664268619,37.557363453,зал спортивный № 2-2,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,sport_gym
229,230,Спортивный комплекс «ЦСиО «Самбо-70» отделение «Севастопольский»,Юго-Западный административный округ,район Черёмушки,"Новочерёмушкинская улица, дом 64, корпус 3",(495) 331-39-00,55.664204942,37.557628992,зал борьбы,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,sport_gym
230,231,Спортивный комплекс «ЦСиО «Самбо-70» отделение «Севастопольский»,Юго-Западный административный округ,район Черёмушки,"Новочерёмушкинская улица, дом 64, корпус 3",(495) 331-39-00,55.664212523,37.55722666,зал спортивный № 3-5,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,sport_gym
