,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
1049,Государственное бюджетное учреждение города Москвы «Центр досуга и спорта «Юность»,Северо-Восточный административный округ,район Отрадное,"улица Мусоргского, дом 5, корпус 2",(925) 066-36-93,55.863768974,37.620513413,зал спортивный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1050,"Физкультурно-оздоровительный комплекс ЦСиО «Самбо-70» отделение «Олимпия» на ул. Кравченко, д.6",Юго-Западный административный округ,Ломоносовский район,"улица Кравченко, дом 6",(499) 133-32-48,55.677444758,37.521729031,"зал спортивный №3, 3 этаж",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,sport_gym
1051,Стадион «Арена-Сокол»,Центральный административный округ,Басманный район,"Новорязанская улица, дом 29А, строение 1",(499) 264-41-74,55.772135692,37.668980905,зал спортивный,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,sport_gym
1052,Досуговый центр «Сабурово»,Южный административный округ,район Москворечье-Сабурово,"Каширское шоссе, дом 51, корпус 4",(495) 344-99-91,55.639897212,37.69239933,зал спортивный №1,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,sport_gym
1053,Спортивный комплекс «Марьина Роща»,Северо-Восточный административный округ,район Марьина Роща,"3-я улица Марьиной Рощи, дом 8",(495) 681-01-48,55.796926971,37.622548209,"зал спортивный №2, «Малый»",09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,sport_gym
1054,Досуговый центр «Водолей»,Северо-Восточный административный округ,Алексеевский район,"проспект Мира, дом 180",(495) 683-40-10,55.823677041,37.646494143,зал спортивный №2,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,закрыто,закрыто,sport_gym
1055,Досуговый центр «Территория спорта Ховрино»,Северный административный округ,район Ховрино,"Клинская улица, дом 18, корпус 2",(499) 766-33-01,55.872015222,37.491619611,настольный теннис,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,sport_gym
1056,Физкультурно-досуговый центр «Бригантина»,Северный административный округ,район Коптево,"улица Зои и Александра Космодемьянских, дом 35/1",(495) 459-35-89,55.825179657,37.525794791,зал спортивный №2,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1057,Фитнес-клуб «Ворлд Класс Триумф»,Северный административный округ,Хорошёвский район,"Чапаевский переулок, дом 3",(495) 788-00-00,55.798434353,37.521131818,зал спортивный №2,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,09:00-23:55,09:00-23:55,sport_gym
1058,Фитнес-клуб «Ворлд Класс Триумф»,Северный административный округ,Хорошёвский район,"Чапаевский переулок, дом 3",(495) 788-00-00,55.798325568,37.520595376,зал спортивный №3,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,sport_gym
1059,Школа боевых искусств «Нагатино-Садовники»,Южный административный округ,район Нагатино-Садовники,"Нагатинская улица, дом 15, корпус 3, строение 2",(499) 611-70-80,55.680671838,37.643426671,зал спортивный,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,sport_gym
1060,Фитнес-клуб «Кенга»,Северный административный округ,район Ховрино,"Фестивальная улица, дом 22, строение 6А",(495) 454-71-00,55.858149328,37.501206409,зал спортивный №2,06:30-23:59,06:30-23:59,06:30-23:59,06:30-23:59,06:30-23:59,08:00-22:00,08:00-22:00,sport_gym
1061,Физкультурно-досуговый центр «Бригантина»,Северный административный округ,район Коптево,"улица Зои и Александра Космодемьянских, дом 35/1",(495) 459-35-89,55.825083026,37.525405871,зал спортивный №1,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1062,Фитнес-клуб «Кенга»,Северный административный округ,район Ховрино,"Фестивальная улица, дом 22, строение 6А",(495) 454-71-00,55.8581439,37.501184439,зал спортивный №1,06:30-22:00,06:30-22:00,06:30-22:00,06:30-22:00,06:30-22:00,08:00-22:00,08:00-22:00,sport_gym
1063,Досуговый центр «Сказка»,Северный административный округ,Тимирязевский район,"Дмитровское шоссе, дом 35, корпус 1",(499) 976-17-13,55.829922863,37.570927522,зал спортивный №1,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,sport_gym
1064,Физкультурно-оздоровительный комплекс «Вороново»,Троицкий административный округ,поселение Вороновское,"поселение Вороновское, посёлок ЛМС, микрорайон ""Центральный"", дом 40, строение 1",(495) 592-46-78,55.312519454,37.181664245,зал спортивный №1,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1065,Спортивный зал «Радуга»,Северо-Восточный административный округ,район Свиблово,"Игарский проезд, дом 8",(499) 186-81-83,55.8578356,37.645199407,зал спортивный,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,10:00-21:00,закрыто,sport_gym
1066,Государственное бюджетное учреждение Детский молодежный центр «Синяя птица»,Восточный административный округ,район Метрогородок,"Открытое шоссе, дом 23, корпус 1",(499) 966-99-16,55.82628337,37.752743536,зал спортивный,09:00-20:00,09:00-20:00,09:00-19:00,09:00-19:00,09:00-18:00,09:15-19:15,закрыто,sport_gym
1067,Фитнес клуб «Акваферст»,Южный административный округ,Даниловский район,"3-й Павловский переулок, дом 1, строение 1",(499) 686-17-86,55.719188492,37.630486793,зал спортивный №2,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,09:00-22:00,09:00-22:00,sport_gym
1068,Спортивный комплекс «Крылатские Холмы»,Западный административный округ,район Крылатское,"улица Крылатские Холмы, дом 23, корпус 1",(495) 733-22-77,55.755346026,37.412297716,"зал спортивный №2, «малый»",08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1069,Спортивный клуб «Мускул»,Северо-Восточный административный округ,Лосиноостровский район,"Янтарный проезд, дом 21",(966) 310-49-16,55.870877817,37.686088238,зал спортивный №3,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,sport_gym
1070,Досуговый центр «Личность»,Южный административный округ,район Царицыно,"Севанская улица, дом 21, корпус 3",(495) 325-07-22,55.622993495,37.648931395,зал спортивный №1,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,12:00-17:00,12:00-17:00,sport_gym
1071,Досуговый центр «Орион»,Юго-Западный административный округ,Академический район,"улица Вавилова, дом 17",(499) 135-45-22,55.701729139,37.580470942,зал спортивный №1,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1072,Фитнес-клуб «Время спорта Оранж»,Северо-Западный административный округ,район Митино,"Пятницкое шоссе, дом 25, корпус 1",(495) 120-27-20,55.848497598,37.364699459,зал спортивный,08:00-23:00,07:00-23:00,08:00-23:00,07:00-23:00,08:00-23:00,10:00-22:00,10:00-22:00,sport_gym
1073,Досуговый центр «Юность»,Восточный административный округ,район Северное Измайлово,"13-я Парковая улица, дом 38, корпус 3",(495) 468-55-36,55.807834268,37.813563369,зал спортивный,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,закрыто,закрыто,sport_gym
1074,Фитнес-клуб «Палестра Спорт»,Северный административный округ,район Сокол,"2-я Песчаная улица, дом 4А, корпус 1",(499) 157-13-45,55.794034074,37.516627032,зал спортивный №4,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,sport_gym
1075,Фитнес-клуб «Палестра Спорт»,Северный административный округ,район Сокол,"2-я Песчаная улица, дом 4А, корпус 1",(499) 157-13-45,55.794100939,37.516986712,зал спортивный №3,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,sport_gym
